date,time_il,symbol,phase,price,score,vol_pct,rsi,rs,is_explosion,alpha_needed,vol_needed,spy_day
2026-04-13,17:54,MARA,NORMAL,10.04,78,182,76.1,0.28,False,80,130,0.4
2026-04-13,17:54,RIOT,NORMAL,17.13,70,53,64.1,-0.1,False,80,130,0.4
2026-04-13,17:54,CLSK,NORMAL,10.48,75,128,71.5,0.26,False,80,130,0.4
2026-04-13,17:54,CIFR,NORMAL,17.39,65,82,67.7,-0.21,False,80,130,0.4
2026-04-13,17:54,WULF,NORMAL,19.34,80,105,59.7,-0.12,False,80,130,0.4
2026-04-13,17:54,SOFI,NORMAL,16.67,70,41,67.9,-0.07,False,80,130,0.4
2026-04-13,17:54,NU,NORMAL,14.88,70,49,55.7,-0.04,False,80,130,0.4
2026-04-13,17:54,RIVN,NORMAL,15.48,70,32,51.4,-0.1,False,80,130,0.4
2026-04-13,17:54,LCID,NORMAL,8.56,70,34,56.5,-0.08,False,80,130,0.4
2026-04-13,17:54,SOUN,NORMAL,6.46,70,58,55.6,0.16,False,80,130,0.4
2026-04-13,17:54,BBAI,NORMAL,3.37,70,53,58.2,-0.07,False,80,130,0.4
2026-04-13,17:54,PLUG,NORMAL,2.8,70,57,55.2,0.01,False,80,130,0.4
2026-04-13,17:54,CHPT,NORMAL,5.09,70,22,58.8,0.32,False,80,130,0.4
2026-04-13,17:54,OPEN,NORMAL,4.3,55,37,52.2,-0.07,False,80,130,0.4
2026-04-13,17:54,PTON,NORMAL,4.53,70,541,49.0,-0.18,False,80,130,0.4
2026-04-13,19:20,MARA,NORMAL,10.0,55,48,60.6,0.03,False,80,130,0.44
2026-04-13,19:20,RIOT,NORMAL,17.03,70,45,55.2,0.04,False,80,130,0.44
2026-04-13,19:20,CLSK,NORMAL,10.44,55,67,59.2,0.03,False,80,130,0.44
2026-04-13,19:20,CIFR,NORMAL,17.12,60,41,51.5,-0.05,False,80,130,0.44
2026-04-13,19:20,SOFI,NORMAL,16.63,70,55,60.9,0.01,False,80,130,0.44
2026-04-13,19:20,NU,NORMAL,14.94,80,91,64.9,0.11,False,80,130,0.44
2026-04-13,19:20,RIVN,NORMAL,15.53,90,118,59.0,-0.05,False,80,130,0.44
2026-04-13,19:20,NIO,NORMAL,6.48,70,59,51.7,-0.07,False,80,130,0.44
2026-04-13,19:20,LCID,NORMAL,8.64,70,56,65.1,0.04,False,80,130,0.44
2026-04-13,19:20,SOUN,NORMAL,6.53,70,77,63.0,-0.02,False,80,130,0.44
2026-04-13,19:20,BBAI,NORMAL,3.36,70,34,58.5,0.27,False,80,130,0.44
2026-04-13,19:20,CHPT,NORMAL,5.33,67,57,80.0,0.55,False,80,130,0.44
2026-04-13,19:20,OPEN,NORMAL,4.32,70,60,56.9,0.1,False,80,130,0.44
2026-04-13,19:20,PTON,NORMAL,4.64,70,23,64.7,-0.24,False,80,130,0.44
2026-04-13,20:36,MARA,NORMAL,10.08,55,72,58.7,0.02,False,80,130,0.71
2026-04-13,20:36,RIOT,NORMAL,17.2,70,56,60.5,0.03,False,80,130,0.71
2026-04-13,20:36,CLSK,NORMAL,10.7,55,53,69.8,0.15,False,80,130,0.71
2026-04-13,20:36,CIFR,NORMAL,17.33,70,77,56.0,0.16,False,80,130,0.71
2026-04-13,20:36,WULF,NORMAL,19.28,70,58,53.9,0.1,False,80,130,0.71
2026-04-13,20:36,SOFI,NORMAL,16.76,80,104,67.2,-0.04,False,80,130,0.71
2026-04-13,20:36,NU,NORMAL,14.99,90,117,64.5,-0.08,False,80,130,0.71
2026-04-13,20:36,RIVN,NORMAL,15.86,91,80,73.9,0.33,False,80,130,0.71
2026-04-13,20:36,LCID,NORMAL,8.95,78,161,79.6,0.13,False,80,130,0.71
2026-04-13,20:36,BBAI,NORMAL,3.37,70,51,51.7,-0.28,False,80,130,0.71
2026-04-13,20:36,OPEN,NORMAL,4.34,70,60,54.4,0.02,False,80,130,0.71
2026-04-13,20:36,PTON,NORMAL,4.7,70,59,64.9,-0.08,False,80,130,0.71
